Vehicle_ID,Distance_Traveled,Battery_Capacity,Processing_Capability,Available_Storage,Number_of_Other_Tasks,Network_Latency,Number_of_Transactions,Block_Size
#00001,549.2646904,4244.803944,1.784345923,807.2803728,16,132.659107,3754.631374,5.987839863
#00002,715.474177,2540.608122,1.082313172,578.9733862,9,60.58377241,4135.437469,1.226391666
#00003,603.1606127,3167.069434,2.846601137,286.6069302,17,91.99314659,3256.396636,3.144125908
#00004,545.3382998,2112.800545,1.812469949,873.9527088,0,80.31148835,3759.137321,7.097312678
#00005,424.2311445,2035.363218,2.888564366,591.0750034,10,187.7348375,3196.750631,6.562388143
#00006,646.248219,4988.803615,2.445448979,958.5199116,11,118.4473144,2093.316143,5.576223093
#00007,438.1496241,3464.589974,2.836639904,998.7386688,19,152.9147995,3324.380254,8.30270106
#00008,891.8812278,3116.074292,2.646535077,732.9163447,16,29.74468488,2230.830556,8.24392869
#00009,963.6990977,2588.516284,2.293793404,407.6416968,1,130.1549223,3589.179566,5.293854309
#00010,384.0580773,4421.576735,1.13587804,643.8126587,7,25.3415652,2955.476447,1.739468644
#00011,791.933313,4117.258159,2.677631544,460.6726763,3,163.5772463,4262.036447,3.280027306
#00012,529.3660248,2004.668594,2.385644801,369.0276119,2,155.4563699,4927.0079,6.473412162
#00013,568.4765165,4313.680019,2.915983029,534.9450787,10,96.96440286,2050.774956,2.344397475
#00014,925.6710417,2334.448235,1.284444936,498.7443038,6,22.07715746,2076.368046,9.968538425
#00015,71.96502214,4845.898041,1.175547076,675.0879872,9,108.6938428,3336.258058,8.113575243
#00016,88.0421704,2998.208252,2.037759961,892.8414162,13,45.11235314,4855.342167,8.871809103
#00017,21.19817904,3353.308326,1.719864748,441.2718115,3,35.48014832,3504.053442,4.563616042
#00018,832.7872257,2014.942717,2.920547365,530.2251462,3,103.3486184,1475.952828,5.206875821
#00019,778.3785942,4473.178065,2.407544436,874.4872398,16,78.09967693,657.7980792,6.536305777
#00020,870.1421361,2924.504763,1.89198814,299.0438672,7,168.7647393,4468.633105,5.169713564
#00021,978.6397239,3669.340629,1.384417495,240.4216829,14,180.0403959,181.3508727,1.102821708
#00022,799.3594057,4779.802391,1.88576282,615.4282666,12,165.2402774,4450.445564,8.232734686
#00023,462.0178829,2468.66715,1.932572834,872.6783452,17,192.8988445,1918.623604,8.533499817
